LocationID,Borough,Zone,service_zone,Hospital
3,Bronx,Allerton/Pelham Gardens,Boro Zone,0
18,Bronx,Bedford Park,Boro Zone,0
20,Bronx,Belmont,Boro Zone,0
31,Bronx,Bronx Park,Boro Zone,0
32,Bronx,Bronxdale,Boro Zone,1
46,Bronx,City Island,Boro Zone,0
47,Bronx,Claremont/Bathgate,Boro Zone,0
51,Bronx,Co-Op City,Boro Zone,0
58,Bronx,Country Club,Boro Zone,0
59,Bronx,Crotona Park,Boro Zone,0
60,Bronx,Crotona Park East,Boro Zone,0
69,Bronx,East Concourse/Concourse Village,Boro Zone,0
78,Bronx,East Tremont,Boro Zone,0
81,Bronx,Eastchester,Boro Zone,0
94,Bronx,Fordham South,Boro Zone,1
119,Bronx,Highbridge,Boro Zone,0
126,Bronx,Hunts Point,Boro Zone,0
136,Bronx,Kingsbridge Heights,Boro Zone,1
147,Bronx,Longwood,Boro Zone,0
159,Bronx,Melrose South,Boro Zone,1
167,Bronx,Morrisania/Melrose,Boro Zone,0
168,Bronx,Mott Haven/Port Morris,Boro Zone,1
169,Bronx,Mount Hope,Boro Zone,0
174,Bronx,Norwood,Boro Zone,1
182,Bronx,Parkchester,Boro Zone,0
183,Bronx,Pelham Bay,Boro Zone,0
184,Bronx,Pelham Bay Park,Boro Zone,0
185,Bronx,Pelham Parkway,Boro Zone,0
199,Bronx,Rikers Island,Boro Zone,0
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,0
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,0
212,Bronx,Soundview/Bruckner,Boro Zone,0
213,Bronx,Soundview/Castle Hill,Boro Zone,0
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,0
235,Bronx,University Heights/Morris Heights,Boro Zone,0
240,Bronx,Van Cortlandt Park,Boro Zone,0
241,Bronx,Van Cortlandt Village,Boro Zone,0
242,Bronx,Van Nest/Morris Park,Boro Zone,1
247,Bronx,West Concourse,Boro Zone,0
248,Bronx,West Farms/Bronx River,Boro Zone,0
250,Bronx,Westchester Village/Unionport,Boro Zone,0
254,Bronx,Williamsbridge/Olinville,Boro Zone,0
259,Bronx,Woodlawn/Wakefield,Boro Zone,0
11,Brooklyn,Bath Beach,Boro Zone,0
14,Brooklyn,Bay Ridge,Boro Zone,0
17,Brooklyn,Bedford,Boro Zone,1
21,Brooklyn,Bensonhurst East,Boro Zone,0
22,Brooklyn,Bensonhurst West,Boro Zone,0
25,Brooklyn,Boerum Hill,Boro Zone,0
26,Brooklyn,Borough Park,Boro Zone,1
29,Brooklyn,Brighton Beach,Boro Zone,0
33,Brooklyn,Brooklyn Heights,Boro Zone,0
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,0
35,Brooklyn,Brownsville,Boro Zone,1
36,Brooklyn,Bushwick North,Boro Zone,1
37,Brooklyn,Bushwick South,Boro Zone,0
39,Brooklyn,Canarsie,Boro Zone,0
40,Brooklyn,Carroll Gardens,Boro Zone,0
49,Brooklyn,Clinton Hill,Boro Zone,0
52,Brooklyn,Cobble Hill,Boro Zone,1
54,Brooklyn,Columbia Street,Boro Zone,0
55,Brooklyn,Coney Island,Boro Zone,1
61,Brooklyn,Crown Heights North,Boro Zone,0
62,Brooklyn,Crown Heights South,Boro Zone,0
63,Brooklyn,Cypress Hills,Boro Zone,0
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,1
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,0
67,Brooklyn,Dyker Heights,Boro Zone,0
71,Brooklyn,East Flatbush/Farragut,Boro Zone,1
72,Brooklyn,East Flatbush/Remsen Village,Boro Zone,1
76,Brooklyn,East New York,Boro Zone,0
77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone,0
80,Brooklyn,East Williamsburg,Boro Zone,0
85,Brooklyn,Erasmus,Boro Zone,0
89,Brooklyn,Flatbush/Ditmas Park,Boro Zone,0
91,Brooklyn,Flatlands,Boro Zone,1
97,Brooklyn,Fort Greene,Boro Zone,1
106,Brooklyn,Gowanus,Boro Zone,0
108,Brooklyn,Gravesend,Boro Zone,0
111,Brooklyn,Green-Wood Cemetery,Boro Zone,0
112,Brooklyn,Greenpoint,Boro Zone,0
123,Brooklyn,Homecrest,Boro Zone,0
133,Brooklyn,Kensington,Boro Zone,0
149,Brooklyn,Madison,Boro Zone,0
150,Brooklyn,Manhattan Beach,Boro Zone,0
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,0
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,0
165,Brooklyn,Midwood,Boro Zone,1
177,Brooklyn,Ocean Hill,Boro Zone,0
178,Brooklyn,Ocean Parkway South,Boro Zone,0
181,Brooklyn,Park Slope,Boro Zone,1
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,1
189,Brooklyn,Prospect Heights,Boro Zone,0
190,Brooklyn,Prospect Park,Boro Zone,0
195,Brooklyn,Red Hook,Boro Zone,0
210,Brooklyn,Sheepshead Bay,Boro Zone,0
217,Brooklyn,South Williamsburg,Boro Zone,0
222,Brooklyn,Starrett City,Boro Zone,0
225,Brooklyn,Stuyvesant Heights,Boro Zone,1
227,Brooklyn,Sunset Park East,Boro Zone,0
228,Brooklyn,Sunset Park West,Boro Zone,1
255,Brooklyn,Williamsburg (North Side),Boro Zone,0
256,Brooklyn,Williamsburg (South Side),Boro Zone,0
257,Brooklyn,Windsor Terrace,Boro Zone,0
1,EWR,Newark Airport,EWR,0
4,Manhattan,Alphabet City,Yellow Zone,0
12,Manhattan,Battery Park,Yellow Zone,0
13,Manhattan,Battery Park City,Yellow Zone,0
24,Manhattan,Bloomingdale,Yellow Zone,0
41,Manhattan,Central Harlem,Boro Zone,1
42,Manhattan,Central Harlem North,Boro Zone,1
43,Manhattan,Central Park,Yellow Zone,0
45,Manhattan,Chinatown,Yellow Zone,0
48,Manhattan,Clinton East,Yellow Zone,0
50,Manhattan,Clinton West,Yellow Zone,0
68,Manhattan,East Chelsea,Yellow Zone,0
74,Manhattan,East Harlem North,Boro Zone,1
75,Manhattan,East Harlem South,Boro Zone,1
79,Manhattan,East Village,Yellow Zone,0
87,Manhattan,Financial District North,Yellow Zone,0
88,Manhattan,Financial District South,Yellow Zone,0
90,Manhattan,Flatiron,Yellow Zone,0
100,Manhattan,Garment District,Yellow Zone,0
103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,0
104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,0
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone,0
107,Manhattan,Gramercy,Yellow Zone,1
113,Manhattan,Greenwich Village North,Yellow Zone,0
114,Manhattan,Greenwich Village South,Yellow Zone,0
116,Manhattan,Hamilton Heights,Boro Zone,0
120,Manhattan,Highbridge Park,Boro Zone,0
125,Manhattan,Hudson Sq,Yellow Zone,0
127,Manhattan,Inwood,Boro Zone,0
128,Manhattan,Inwood Hill Park,Boro Zone,0
137,Manhattan,Kips Bay,Yellow Zone,1
140,Manhattan,Lenox Hill East,Yellow Zone,1
141,Manhattan,Lenox Hill West,Yellow Zone,0
142,Manhattan,Lincoln Square East,Yellow Zone,0
143,Manhattan,Lincoln Square West,Yellow Zone,0
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,0
148,Manhattan,Lower East Side,Yellow Zone,1
151,Manhattan,Manhattan Valley,Yellow Zone,0
152,Manhattan,Manhattanville,Boro Zone,0
153,Manhattan,Marble Hill,Boro Zone,0
158,Manhattan,Meatpacking/West Village West,Yellow Zone,0
161,Manhattan,Midtown Center,Yellow Zone,0
162,Manhattan,Midtown East,Yellow Zone,0
163,Manhattan,Midtown North,Yellow Zone,0
164,Manhattan,Midtown South,Yellow Zone,0
166,Manhattan,Morningside Heights,Boro Zone,1
170,Manhattan,Murray Hill,Yellow Zone,0
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,0
194,Manhattan,Randalls Island,Yellow Zone,0
202,Manhattan,Roosevelt Island,Boro Zone,0
209,Manhattan,Seaport,Yellow Zone,0
211,Manhattan,SoHo,Yellow Zone,0
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,0
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,0
230,Manhattan,Times Sq/Theatre District,Yellow Zone,0
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,0
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,1
