year,month,day,hospital
2009,1,1,259
2009,1,2,355
2009,1,3,299
2009,1,4,267
2009,1,5,400
2009,1,6,473
2009,1,7,397
2009,1,8,495
2009,1,9,547
2009,1,10,408
2009,1,11,306
2009,1,12,496
2009,1,13,481
2009,1,14,510
2009,1,15,537
2009,1,16,582
2009,1,17,408
2009,1,18,324
2009,1,19,268
2009,1,20,493
2009,1,21,550
2009,1,22,568
2009,1,23,567
2009,1,24,446
2009,1,25,349
2009,1,26,494
2009,1,27,537
2009,1,28,503
2009,1,29,539
2009,1,30,508
2009,1,31,416
2009,2,1,329
2009,2,2,459
2009,2,3,459
2009,2,4,370
2009,2,5,535
2009,2,6,538
2009,2,7,393
2009,2,8,356
2009,2,9,472
2009,2,10,499
2009,2,11,516
2009,2,12,496
2009,2,13,532
2009,2,14,387
2009,2,15,332
2009,2,16,298
2009,2,17,476
2009,2,18,481
2009,2,19,534
2009,2,20,527
2009,2,21,375
2009,2,22,333
2009,2,23,519
2009,2,24,504
2009,2,25,517
2009,2,26,510
2009,2,27,537
2009,2,28,356
2009,3,1,336
2009,3,2,379
2009,3,3,544
2009,3,4,522
2009,3,5,427
2009,3,6,490
2009,3,7,324
2009,3,8,280
2009,3,9,458
2009,3,10,502
2009,3,11,466
2009,3,12,509
2009,3,13,544
2009,3,14,342
2009,3,15,309
2009,3,16,402
2009,3,17,457
2009,3,18,465
2009,3,19,495
2009,3,20,490
2009,3,21,346
2009,3,22,328
2009,3,23,468
2009,3,24,479
2009,3,25,473
2009,3,26,532
2009,3,27,467
2009,3,28,351
2009,3,29,350
2009,3,30,453
2009,3,31,494
2009,4,1,350
2009,4,2,497
2009,4,3,487
2009,4,4,350
2009,4,5,339
2009,4,6,460
2009,4,7,510
2009,4,8,471
2009,4,9,470
2009,4,10,417
2009,4,11,291
2009,4,12,267
2009,4,13,450
2009,4,14,523
2009,4,15,432
2009,4,16,498
2009,4,17,519
2009,4,18,364
2009,4,19,274
2009,4,20,506
2009,4,21,481
2009,4,22,516
2009,4,23,532
2009,4,24,461
2009,4,25,320
2009,4,26,308
2009,4,27,312
2009,4,28,461
2009,4,29,485
2009,4,30,478
2009,5,1,485
2009,5,2,359
2009,5,3,306
2009,5,4,450
2009,5,5,527
2009,5,6,508
2009,5,7,505
2009,5,8,521
2009,5,9,326
2009,5,10,297
2009,5,11,476
2009,5,12,501
2009,5,13,494
2009,5,14,553
2009,5,15,511
2009,5,16,392
2009,5,17,323
2009,5,18,443
2009,5,19,536
2009,5,20,540
2009,5,21,460
2009,5,22,446
2009,5,23,266
2009,5,24,236
2009,5,25,204
2009,5,26,506
2009,5,27,543
2009,5,28,566
2009,5,29,483
2009,5,30,342
2009,5,31,324
2009,6,1,343
2009,6,2,483
2009,6,3,578
2009,6,4,531
2009,6,5,518
2009,6,6,327
2009,6,7,305
2009,6,8,450
2009,6,9,501
2009,6,10,538
2009,6,11,493
2009,6,12,531
2009,6,13,382
2009,6,14,301
2009,6,15,464
2009,6,16,578
2009,6,17,519
2009,6,18,582
2009,6,19,491
2009,6,20,348
2009,6,21,299
2009,6,22,407
2009,6,23,442
2009,6,24,491
2009,6,25,448
2009,6,26,482
2009,6,27,311
2009,6,28,321
2009,6,29,465
2009,6,30,431
2009,7,1,350
2009,7,2,492
2009,7,3,258
2009,7,4,225
2009,7,5,246
2009,7,6,397
2009,7,7,469
2009,7,8,467
2009,7,9,473
2009,7,10,469
2009,7,11,305
2009,7,12,295
2009,7,13,372
2009,7,14,476
2009,7,15,471
2009,7,16,477
2009,7,17,448
2009,7,18,323
2009,7,19,291
2009,7,20,429
2009,7,21,521
2009,7,22,491
2009,7,23,483
2009,7,24,501
2009,7,25,287
2009,7,26,266
2009,7,27,410
2009,7,28,475
2009,7,29,488
2009,7,30,475
2009,7,31,452
2009,8,1,308
2009,8,2,300
2009,8,3,430
2009,8,4,451
2009,8,5,449
2009,8,6,468
2009,8,7,446
2009,8,8,262
2009,8,9,275
2009,8,10,417
2009,8,11,472
2009,8,12,496
2009,8,13,462
2009,8,14,437
2009,8,15,286
2009,8,16,262
2009,8,17,425
2009,8,18,448
2009,8,19,462
2009,8,20,494
2009,8,21,503
2009,8,22,275
2009,8,23,283
2009,8,24,360
2009,8,25,490
2009,8,26,438
2009,8,27,490
2009,8,28,454
2009,8,29,302
2009,8,30,273
2009,8,31,419
2009,9,1,382
2009,9,2,431
2009,9,3,440
2009,9,4,440
2009,9,5,239
2009,9,6,234
2009,9,7,246
2009,9,8,443
2009,9,9,488
2009,9,10,495
2009,9,11,501
2009,9,12,360
2009,9,13,295
2009,9,14,477
2009,9,15,456
2009,9,16,501
2009,9,17,496
2009,9,18,440
