year,month,hospital_zone
2017,1,0.15105794168181289
2017,2,0.15122998481080502
2017,3,0.1478843057125774
2017,4,0.15002456398919184
2017,5,0.14723194569001263
2017,6,0.14737265070490624
2017,7,0.1454849143348733
2017,8,0.14699593051735182
2017,9,0.1499208453645681
2017,10,0.15010510666175508
2017,11,0.15117648090447267
2017,12,0.1493665547207856
2018,1,0.15268760156895872
2018,2,0.15451255794369878
2018,3,0.1531325418687989
2018,4,0.155003209189383
2018,5,0.15536147936463185
2018,6,0.15560570923748
2018,7,0.1535971743465751
2018,8,0.15334517103124326
2018,9,0.15780004471080378
2018,10,0.16093947263226613
2018,11,0.15895399482570213
2018,12,0.1582786527338306
2019,1,0.16482419750835217
2019,2,0.16302655726700802
2019,3,0.16022684749307547
2019,4,0.15836895390322253
2019,5,0.15571137024459425
2019,6,0.1546744822401147
2019,7,0.15856555303846745
2019,8,0.15765110710762634
2019,9,0.16258315792886105
2019,10,0.16432613616576702
2019,11,0.16013949784613024
2019,12,0.1597258988863191
